sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
333,bus,5,C,,Contact_ Phone,,0..*,,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,BU24-10,$.btx_BusinessTransactions.btx_Entity_Party.cor_Assigned_Accountant.bus_Accountant_Contact.bus_Contact_Phone,bus,Contact_ Phone,entityAccountantContactPhone,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityAssignedAccountant/gl-bus:entityAccountantContact/gl-bus:entityAccountantContactPhone
334,bus,6,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU03-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_Assigned_Accountant.bus_Accountant_Contact.bus_Contact_Phone.bus_PhoneNumber,bus,Contact_ Phone,entityAccountantContactPhoneNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityAssignedAccountant/gl-bus:entityAccountantContact/gl-bus:entityAccountantContactPhone/gl-bus:entityAccountantContactPhoneNumber
335,bus,6,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU03-02,$.btx_BusinessTransactions.btx_Entity_Party.cor_Assigned_Accountant.bus_Accountant_Contact.bus_Contact_Phone.bus_PhoneNumberDescription,bus,Contact_ Phone,entityAccountantContactPhoneNumberDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityAssignedAccountant/gl-bus:entityAccountantContact/gl-bus:entityAccountantContactPhone/gl-bus:entityAccountantContactPhoneNumberDescription
336,bus,5,C,,Contact_ Fax,,0..*,,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,BU24-11,$.btx_BusinessTransactions.btx_Entity_Party.cor_Assigned_Accountant.bus_Accountant_Contact.bus_Contact_Fax,bus,Contact_ Fax,entityAccountantContactFax,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityAssignedAccountant/gl-bus:entityAccountantContact/gl-bus:entityAccountantContactFax
337,bus,6,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,BU08-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_Assigned_Accountant.bus_Accountant_Contact.bus_Contact_Fax.bus_FaxNumber,bus,Contact_ Fax,entityAccountantContactFaxNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityAssignedAccountant/gl-bus:entityAccountantContact/gl-bus:entityAccountantContactFax/gl-bus:entityAccountantContactFaxNumber
338,bus,6,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU08-02,$.btx_BusinessTransactions.btx_Entity_Party.cor_Assigned_Accountant.bus_Accountant_Contact.bus_Contact_Fax.bus_FaxNumberUsage,bus,Contact_ Fax,entityAccountantContactFaxNumberUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityAssignedAccountant/gl-bus:entityAccountantContact/gl-bus:entityAccountantContactFax/gl-bus:entityAccountantContactFaxNumberUsage
339,bus,5,C,,Contact_ Email,,0..*,,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,BU24-12,$.btx_BusinessTransactions.btx_Entity_Party.cor_Assigned_Accountant.bus_Accountant_Contact.bus_Contact_Email,bus,Contact_ Email,entityAccountantContactEmail,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityAssignedAccountant/gl-bus:entityAccountantContact/gl-bus:entityAccountantContactEmail
340,bus,6,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,BU13-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_Assigned_Accountant.bus_Accountant_Contact.bus_Contact_Email.bus_EmailAddress,bus,Contact_ Email,entityAccountantContactEmailAddress,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityAssignedAccountant/gl-bus:entityAccountantContact/gl-bus:entityAccountantContactEmail/gl-bus:entityAccountantContactEmailAddress
341,bus,6,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU13-02,$.btx_BusinessTransactions.btx_Entity_Party.cor_Assigned_Accountant.bus_Accountant_Contact.bus_Contact_Email.bus_EmailAddressUsage,bus,Contact_ Email,entityAccountantContactEmailAddressUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entityAssignedAccountant/gl-bus:entityAccountantContact/gl-bus:entityAccountantContactEmail/gl-bus:entityAccountantContactEmailAddressUsage
342,bus,3,C,,Specified_ Reporting Calendar,,0..*,Specified,A tool to collect the periods used to summarise results from transactions.,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,CO14-17,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar,bus,Reporting Calendar,entitySpecifiedReportingCalendar,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar
343,bus,4,A,PK,Reporting Calendar Code,String,0..1,,"The code used to identify this specific reporting calendar, unique across periods",報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,BU29-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendarCode,bus,Reporting Calendar,entitySpecifiedReportingCalendarCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarCode
344,bus,4,A,,Reporting Calendar Description,String,0..1,,A description of the reporting calendar (associated with the reportingCalendarCode given),報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,BU29-02,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendarDescription,bus,Reporting Calendar,entitySpecifiedReportingCalendarDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarDescription
345,bus,4,A,,Reporting Calendar Title,String,0..1,,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' class,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,BU29-03,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendarTitle,bus,Reporting Calendar,entitySpecifiedReportingCalendarTitle,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarTitle
346,bus,4,A,,Reporting Calendar Period Type,Token,0..1,,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他_x000D_
[設定値のリスト]_x000D_
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)",BU29-04,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendarPeriodType,bus,Reporting Calendar,entitySpecifiedReportingCalendarPeriodType,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarPeriodType
347,bus,4,A,,Reporting Calendar Period Type Description,String,0..1,,A description of the type of period involved.,期間種別説明,報告期間の種別の説明。,BU29-05,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendarPeriodTypeDescription,bus,Reporting Calendar,entitySpecifiedReportingCalendarPeriodTypeDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarPeriodTypeDescription
348,bus,4,A,,Reporting Calendar Closed Status,Token,0..1,,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中_x000D_
[設定値のリスト]_x000D_
(open：オープン)、(closed：締切り済み)、(pending：保留中)",BU29-06,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendarClosedStatus,bus,Reporting Calendar,entitySpecifiedReportingCalendarClosedStatus,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarClosedStatus
349,bus,4,A,,Reporting Calendar Purpose,Token,0..1,,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",BU29-07,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendarPurpose,bus,Reporting Calendar,entitySpecifiedReportingCalendarPurpose,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarPurpose
350,bus,4,A,,Reporting Calendar Purpose Description,String,0..1,,Free format description of the reporting purpose,報告目的説明,報告目的の説明。,BU29-08,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendarPurposeDescription,bus,Reporting Calendar,entitySpecifiedReportingCalendarPurposeDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarPurposeDescription
351,bus,4,C,,Reporting Calendar_ Period,,0..*,,A tool to collect a specific set of periods used to summarize results from transactions.,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,BU29-09,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendar_Period,bus,Reporting Calendar_ Period,entitySpecifiedReportingCalendarPeriod,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarPeriod
352,bus,5,A,PK,Period ID,String,0..1,,An identifier for this period in this calendar,報告期間識別子,このカレンダーにおけるこの期間の識別子。,BU28-01,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendar_Period.bus_PeriodID,bus,Reporting Calendar_ Period,entitySpecifiedReportingPeriodId,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarPeriod/gl-bus:entitySpecifiedReportingPeriodId
353,bus,5,A,,Period Description,String,0..1,,A description of this specific reporting period in this calendar.,期間説明,このカレンダーにおけるこの特定の期間の説明。,BU28-02,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendar_Period.bus_PeriodDescription,bus,Reporting Calendar_ Period,entitySpecifiedReportingPeriodDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarPeriod/gl-bus:entitySpecifiedReportingPeriodDescription
354,bus,5,A,,Period Start Date,Date Time,0..1,,The beginning date/time of a period,期間開始日付,期間の開始日付/時刻,BU28-03,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendar_Period.bus_PeriodStartDate,bus,Reporting Calendar_ Period,entitySpecifiedReportingPeriodStartDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarPeriod/gl-bus:entitySpecifiedReportingPeriodStartDate
355,bus,5,A,,Period End Date,Date Time,0..1,,The ending date/time of a period,期間終了日付,期間の終了日付/時刻,BU28-04,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendar_Period.bus_PeriodEndDate,bus,Reporting Calendar_ Period,entitySpecifiedReportingPeriodEndDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarPeriod/gl-bus:entitySpecifiedReportingPeriodEndDate
356,bus,5,A,,Reporting Calendar_ Period Closed Date,Date Time,0..1,,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",BU28-05,$.btx_BusinessTransactions.btx_Entity_Party.cor_Specified_ReportingCalendar.bus_ReportingCalendar_Period.bus_ReportingCalendar_PeriodClosedDate,bus,Reporting Calendar_ Period,entitySpecifiedReportingPeportingCalendarPeriodClosedDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:entityParty/gl-bus:entitySpecifiedReportingCalendar/gl-bus:entitySpecifiedReportingCalendarPeriod/gl-bus:entitySpecifiedReportingPeportingCalendarPeriodClosedDate
357,btx,2,C,,Transaction_ Header,,0..*,,Parent class grouping transaction document header records.,【取引ヘッダ】,取引文書のヘッダ・レコードをまとめて保持する親クラス。,BT09-03,$.btx_BusinessTransactions.btx_Transaction_Header,btx,Transaction_ Header,transactionHeader,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader
358,btx,3,A,,Date Posted,Date Time,0..1,,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,BT11-01,$.btx_BusinessTransactions.btx_Transaction_Header.btx_DatePosted,btx,Transaction_ Header,datePosted,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:datePosted
359,btx,3,A,,Creator,String,0..1,,Initials/name of operator originally entering.,仕訳作成者,最初に入力したオペレータのイニシャル/名前。,BT11-02,$.btx_BusinessTransactions.btx_Transaction_Header.btx_Creator,btx,Transaction_ Header,creator,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:creator
360,btx,3,A,,Last Modifier,String,0..1,,Identification for the last person modifying this entry before posting.,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。,BT11-03,$.btx_BusinessTransactions.btx_Transaction_Header.btx_LastModifier,btx,Transaction_ Header,lastModifier,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:lastModifier
361,btx,3,A,,Responsible Person,String,0..1,,Identifier of person who created or originated or is otherwise responsible for the entry.,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。,BT11-04,$.btx_BusinessTransactions.btx_Transaction_Header.btx_ResponsiblePerson,btx,Transaction_ Header,responsiblePerson,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:responsiblePerson
362,btx,3,A,,Posting Code,String,0..1,,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。,BT11-05,$.btx_BusinessTransactions.btx_Transaction_Header.btx_PostingCode,btx,Transaction_ Header,postingCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:postingCode
363,btx,3,A,,Number of Entries,Integer,0..1,,The total number of entries.,仕訳総数,仕訳の総数。,BT11-06,$.btx_BusinessTransactions.btx_Transaction_Header.btx_NumberofEntries,btx,Transaction_ Header,numberOfEntries,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:numberOfEntries
364,btx,3,A,,Comment,String,0..1,,Comment of the entry,仕訳摘要,仕訳の摘要,BT11-07,$.btx_BusinessTransactions.btx_Transaction_Header.btx_Comment,btx,Transaction_ Header,comment,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:comment
365,btx,3,A,,Header_ Entry Date,Date Time,0..1,,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,BT11-08,$.btx_BusinessTransactions.btx_Transaction_Header.btx_Header_EntryDate,btx,Transaction_ Header,headerEntryDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerEntryDate
366,btx,3,A,,Header_ Type Identifier,Token,0..1,,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",種別識別子,"以下の値のうちのひとつ。_x000D_
整理、予算、比較、外部会計事務所、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他_x000D_
[設定値のリスト]_x000D_
(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計事務所)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)",BT11-09,$.btx_BusinessTransactions.btx_Transaction_Header.btx_Header_TypeIdentifier,btx,Transaction_ Header,headerTypeIdentifier,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTypeIdentifier
367,btx,3,A,,Header Entry Number Counter,Decimal,0..1,,Unique reference for the entry - a numeric counter,文書番号カウンタ,文書の一意なリファレンス　　カウンタ,BT11-10,$.btx_BusinessTransactions.btx_Transaction_Header.btx_HeaderEntryNumberCounter,btx,Transaction_ Header,headerEntryNumberCounter,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerEntryNumberCounter
368,btx,3,A,,Header Document Type,Token,0..1,,"An enumerated field describing the original source document, with invoice, voucher, check and other enumerated entries",元文書種別,顧客への請求書、ベンダからの請求書、小切手、その他の列挙値による、元文書の説明。\n[設定値のリスト]\n(check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他),BT11-11,$.btx_BusinessTransactions.btx_Transaction_Header.btx_HeaderDocumentType,btx,Transaction_ Header,headerDocumentType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerDocumentType
369,btx,3,A,,Header Document Type Description,String,0..1,,Free format description of the document type,元文書種別説明,元文書の種別の説明。,BT11-12,$.btx_BusinessTransactions.btx_Transaction_Header.btx_HeaderDocumentTypeDescription,btx,Transaction_ Header,headerDocumentTypeDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerDocumentTypeDescription
370,btx,3,A,,Header Invoice Type,Token,0..1,,"Invoice Type  (self-billed, ePoS enumerated values)",請求書種別,請求書の種別。(self-billed、ePoS)\n[設定値のリスト]\n(ePos：POSシステムからの発行)、(self-billed：手動発行),BT11-13,$.btx_BusinessTransactions.btx_Transaction_Header.btx_HeaderInvoiceType,btx,Transaction_ Header,headerInvoiceType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerInvoiceType
371,btx,3,A,,Header Document Number,String,0..1,,"Invoice, check, voucher, or other source document identifier",元文書番号,請求書、小切手、証憑、その他の元文書の識別子。,BT11-14,$.btx_BusinessTransactions.btx_Transaction_Header.btx_HeaderDocumentNumber,btx,Transaction_ Header,headerDocumentNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerDocumentNumber
372,btx,3,R,,Applied Invoice_ Referenced Document,,0..1,Applied Invoice,"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item.",適用先番号,支払、借方、貸方の相殺に使用される、一次請求書の文書番号。請求書では通常documentNumberと等しい。未決済の請求書残高や、未決済の支払金額の計算時に、利用できる。,BT11-15,$.btx_BusinessTransactions.btx_Transaction_Header.btx_AppliedInvoice_ReferencedDocument,btx,Referenced Document,headerAppliedInvoiceReferencedDocument,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerAppliedInvoiceReferencedDocument
373,btx,4,A,REF,Document Number,String,0..1,,Document number,発生元文書番号,発生元文書の番号。,BT10-02,$.btx_BusinessTransactions.btx_Transaction_Header.btx_AppliedInvoice_ReferencedDocument.btx_DocumentNumber,btx,Referenced Document,headerAppliedInvoiceReferencedDocumentNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerAppliedInvoiceReferencedDocument/gl-btx:headerAppliedInvoiceReferencedDocumentNumber
374,btx,3,C,,Referenced Document,,0..*,,Reference for the document; number assigned to track the document,元文書参照情報,上の文書のための内部参照情報。文書を追跡するために内部的に割り当てた番号。,BT11-16,$.btx_BusinessTransactions.btx_Transaction_Header.btx_ReferencedDocument,btx,Referenced Document,headerReferencedDocument,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerReferencedDocument
375,btx,4,A,,Document Type,Token,0..1,,"Document type  check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",発生元文書種別,発生元文書の種別。小切手(check)、借方メモ(debit-memo)、貸方メモ(credit-memo)、財務費用(finance-charge)、顧客への請求書(invoice)、顧客オーダ(order-customer)、仕入先オーダ(order-vendor)、その他支払い(payment-other)、督促状(reminder)、手形(tegata)、ベンダからの請求書(voucher)、出荷票(shipment)、受領票(receipt)、手修正(manual-adjustment)、その他(other),BT10-01,$.btx_BusinessTransactions.btx_Transaction_Header.btx_ReferencedDocument.btx_DocumentType,btx,Referenced Document,headerReferencedDocumentType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerReferencedDocument/gl-btx:headerReferencedDocumentType
376,btx,4,A,PK,Document Number,String,0..1,,Document number,発生元文書番号,発生元文書の番号。,BT10-02,$.btx_BusinessTransactions.btx_Transaction_Header.btx_ReferencedDocument.btx_DocumentNumber,btx,Referenced Document,headerReferencedDocumentNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerReferencedDocument/gl-btx:headerReferencedDocumentNumber
377,btx,4,A,,Document Date,Date,0..1,,Document date,発生元文書日付,発生元文書の日付。,BT10-03,$.btx_BusinessTransactions.btx_Transaction_Header.btx_ReferencedDocument.btx_DocumentDate,btx,Referenced Document,headerReferencedDocumentDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerReferencedDocument/gl-btx:headerReferencedDocumentDate
378,btx,4,A,,Document Identifier Type,Token,0..1,,"Document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",発生元文書対象CVE種別,発生元文書の対象となるCVEの種別。_x000D_ [設定値のリスト]_x000D_ (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者),BT10-04,$.btx_BusinessTransactions.btx_Transaction_Header.btx_ReferencedDocument.btx_DocumentIdentifierType,btx,Referenced Document,headerReferencedDocumentIdentifierType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerReferencedDocument/gl-btx:headerReferencedDocumentIdentifierType
379,btx,4,A,,Document Identifier Code,String,0..1,,Document identifier code,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。,BT10-05,$.btx_BusinessTransactions.btx_Transaction_Header.btx_ReferencedDocument.btx_DocumentIdentifierCode,btx,Referenced Document,headerReferencedDocumentIdentifierCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerReferencedDocument/gl-btx:headerReferencedDocumentIdentifierCode
380,btx,4,A,,Received Date,Date Time,0..1,,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,BT10-06,$.btx_BusinessTransactions.btx_Transaction_Header.btx_ReferencedDocument.btx_ReceivedDate,btx,Referenced Document,headerReferencedDeceivedDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerReferencedDocument/gl-btx:headerReferencedDeceivedDate
381,btx,4,A,,Document Location,String,0..1,,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,BT10-07,$.btx_BusinessTransactions.btx_Transaction_Header.btx_ReferencedDocument.btx_DocumentLocation,btx,Referenced Document,headerReferencedDocumentLocation,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerReferencedDocument/gl-btx:headerReferencedDocumentLocation
382,btx,3,A,,Header Payment Method,String,0..1,,Method used or to be used to make the payment,支払方法,支払いのために使用された、または使用される方法。,BT11-17,$.btx_BusinessTransactions.btx_Transaction_Header.btx_HeaderPaymentMethod,btx,Transaction_ Header,headerPaymentMethod,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerPaymentMethod
